CORE PHRASES: 281

   76x | All'inizio ero più scettico che convinto.
   20x | Il punto è sempre lo stesso: bello non vuol dire automaticamente giusto.
   20x | E lo dico da persona che di solito cambia idea solo a fatica.
   19x | Hanno una presenza che non dipende dal logo o dall'effetto moda del momento.
   19x | Per me restano più convincenti come oggetto che come compagni di giornata.
   19x | Per me resta sospeso tra idea riuscita e uso intermittente.
   19x | Non li boccio, ma richiedono il volto e lo stile giusto.
   19x | Sono validi, solo meno immediati di quanto sperassi.
   19x | Su questo modello,
   18x | E infatti la differenza, come spesso accade, la fa il modo in cui si appoggia sul viso.
   18x | Sul lungo periodo la fascinazione iniziale non basta.
   18x | Non compro per collezione, compro per uso reale.
   18x | Mi lascia con più rispetto che entusiasmo.
   17x | Non mi crea rifiuto, ma neanche quella serenità che mi fa pensare di aver trovato il paio giusto.
   17x | Qui non è questione di moda, è proprio questione di faccia e struttura.
   17x | Mi ritrovo a correggerli o pensarci più di quanto vorrei.
   17x | e da lì in poi non recupera più. Per altri magari sì,
   17x | Per altri magari sì, per me no.
   16x | Il risultato finale è buono, purché gli si conceda il terreno adatto.
   16x | Non è perfetto, ma ha abbastanza qualità da farsi scegliere spesso.
   16x | Di solito capisco subito se un paio mi accompagnerà davvero.
   16x | Ho un viso che non perdona molto e quindi giudico in fretta.
   15x | Mi conosco: se un occhiale mi complica la vita, sparisce in tre giorni.
   15x | La delusione non è totale, ma è abbastanza da fermarmi.
   15x | Su di me restano più belli da vedere che da portare.
   14x | Li guardo e ne capisco il fascino, ma addosso il discorso cambia.
   14x | Io parto sempre malissimo con i modelli troppo caratterizzati.
   14x | Peccato, perché il progetto aveva elementi interessanti.
   14x | Per quanto mi riguarda, strada interrotta quasi subito.
   14x | Peccato, perché il potenziale c'era e si vede ancora.
   14x | Rimane una promessa che sul mio viso non si compie.
   13x | La distanza tra come li immaginavo e come mi stanno è stata ampia.
   13x | Li tengo, però non sono quelli che mi vengono in mente per primi.
   13x | Sono riuscito a volergli bene solo da fermo, non indossandolo.
   13x | Ho voluto insistere, ma il dialogo non è mai partito davvero.
   13x | Lo considero riuscito a metà: interessante, ma non spontaneo.
   13x | Resto in una zona di mezzo: li rispetto, non li inseguo.
   13x | Peccato, perché l'idea di fondo mi piaceva parecchio.
   13x | Finisce tra i paia che guardo più di quanto indossi.
   13x | Per me è stato un acquisto sbagliato.
   12x | Ogni tanto lo trovo centrato, ogni tanto mi sembra chiedere troppo al resto del look.
   12x | Ho quarantadue anni e di solito diffido dei modelli troppo costruiti.
   12x | Per il mio uso quotidiano i compromessi sono troppi.
   12x | Alla fine li metto poco proprio per questo.
   12x | marciapiedi e tavolini al sole,
   11x | Ci vedo valore, semplicemente non sempre per il mio modo di vestirmi o di usarlo.
   11x | Non sono riuscito a trovare un solo contesto in cui mi sembrassero davvero miei.
   11x | Non c'è stata intesa, e a un certo punto è meglio dirlo senza girarci attorno.
   11x | A forza di provarne, ho capito che il dettaglio fa più della moda.
   11x | Quando la calzata non gira, tutto il resto perde peso in fretta.
   11x | Ho gusti abbastanza selettivi e faccio pochi acquisti impulsivi.
   11x | Alla fine li ho rimessi nella custodia e lì sono rimasti.
   11x | Sulla carta interessante, nella pratica molto meno.
   11x | Io con questo paio ho chiuso presto.
   10x | ma dalla forma e da come cade sul viso. Non lo sento come un semplice accessorio,
   10x | Sono il tipo di occhiale che se non combacia al cento per cento non perdona.
   10x | Se devo continuamente adattarmi io al prodotto, qualcosa per me non torna.
   10x | Li lascio volentieri a chi ha un viso o un gusto più compatibile del mio.
   10x | È uno di quei casi in cui l'idea mi piace più dell'esecuzione su di me.
   10x | È una relazione tiepida, non un rifiuto e neppure un colpo di fulmine.
   10x | non per automatismo. Resto in una zona di mezzo: capisco il progetto,
   10x | È uno di quei modelli che rispetto più di quanto ami davvero.
   10x | Il potenziale c'era, la resa personale molto meno.
   10x | L'estetica da sola, qui, non mi basta a salvarli.
   10x | Non gli trovo un posto vero nella mia rotazione.
   10x | Lo capisco, ma non lo vivo con naturalezza.
   10x | non un sì assoluto. Lo promuovo,
    9x | Il test decisivo per me è sempre la seconda uscita, quella senza entusiasmo iniziale, e lì ha confermato il suo carattere senza diventare caricatura.
    9x | Quando un occhiale ti infastidisce fin dai primi minuti, per me la discussione si chiude lì.
    9x | Nel mio caso la storia finisce qui: bello sulla carta, sbagliato addosso.
    9x | La distanza tra aspettativa e resa è stata troppo grande.
    9x | La bellezza da sola non mi compensa l'attrito quotidiano.
    9x | Per il mio gusto rendono al massimo in viaggio.
    9x | Qui non siamo proprio arrivati a un'intesa.
    8x | La cosa più onesta che posso dire è che ha trovato il suo senso in modo molto naturale.
    8x | Anche sforzandomi di dargli una seconda occasione, il risultato non cambia.
    8x | Capisco l'idea, ma sul mio viso è stato un errore netto.
    8x | Peccato, perché il progetto visivo ha qualità evidenti.
    8x | La qualità dell'idea c'è, la compatibilità con me meno.
    7x | Li ho infilati per la prima volta senza aspettarmi troppo e invece ha funzionato soprattutto nel passaggio dal tavolo al viso.
    7x | La prova vera non l'ho fatta davanti allo specchio, ma fuori, e lì si è comportato meglio del previsto.
    7x | La cosa più onesta che posso dire è che ha tirato fuori una personalità più matura di quanto pensassi.
    7x | Per il mio viso e per il mio uso quotidiano è stato un errore secco.
    7x | Sembra costruito per il movimento e per l'effetto scenico insieme.
    7x | Per me è uno di quei no che diventano evidenti molto in fretta.
    7x | Il dettaglio legno cambia davvero la temperatura del modello.
    7x | Più che conquistarmi, mi hanno incuriosito a intermittenza.
    7x | Resto nel mezzo: ha carattere, ma non mi viene naturale.
    7x | Nel mio caso il rapporto si è chiuso prima di iniziare.
    7x | Ha una calma che molti aviator moderni hanno perso.
    7x | Per il mio gusto rendono al massimo alla guida.
    7x | Usa il registro rétro in modo quasi teatrale.
    7x | Li vedo bene soprattutto in città.
    7x | Li ho accantonati quasi subito.
    6x | Il test decisivo per me è sempre la seconda uscita, quella senza entusiasmo iniziale, e lì ha mostrato un equilibrio che in foto non avevo capito fino in fondo.
    6x | Il test decisivo per me è sempre la seconda uscita, quella senza entusiasmo iniziale, e lì ha trovato il suo senso in modo molto naturale.
    6x | La prova vera non l'ho fatta davanti allo specchio, ma fuori, e lì ha tirato fuori una personalità più matura di quanto pensassi.
    6x | Il test decisivo per me è sempre la seconda uscita, quella senza entusiasmo iniziale, e lì si è comportato meglio del previsto.
    6x | La prova vera non l'ho fatta davanti allo specchio, ma fuori, e lì ha funzionato soprattutto nel passaggio dal tavolo al viso.
    6x | Li ho comprati per un motivo e li ho tenuti per un altro, perché ha confermato il suo carattere senza diventare caricatura.
    6x | Li ho infilati per la prima volta senza aspettarmi troppo e invece mi ha dato subito la misura di un progetto pensato bene.
    6x | Li ho infilati per la prima volta senza aspettarmi troppo e invece si è comportato meglio del previsto.
    6x | All'inizio li guardavo con curiosità più che con convinzione, poi si è comportato meglio del previsto.
    6x | Più passano i giorni, più mi accorgo che non mi viene mai voglia di sceglierlo.
    6x | È il classico caso in cui l'estetica da sola non basta a salvare l'esperienza.
    6x | Non mi pento di averlo provato, però non è il paio che cerco a occhi chiusi.
    6x | Per me rimane più attraente come idea che come compagno reale di uso.
    6x | Li ho portati nelle giornate luminose e non mi hanno deluso.
    6x | L'ho praticamente archiviato dopo pochissime prove.
    6x | Li vedo bene soprattutto nelle giornate luminose.
    6x | Per il mio gusto rendono al massimo all'aperto.
    6x | Li ho portati alla guida e non mi hanno deluso.
    6x | Su di me funzionano bene con outfit streetwear.
    6x | Non sono riuscito a farmeli piacere davvero.
    6x | Ha un'impronta quasi da equipaggiamento.
    6x | Ha un fascino da film anni settanta.
    6x | Su di me funzionano bene in vacanza.
    6x | Li vedo bene soprattutto alla guida.
    6x | Su di me funzionano bene in città.
    5x | Ho aspettato qualche uscita prima di farmi un'idea, e adesso posso dire che ha tirato fuori una personalità più matura di quanto pensassi.
    5x | Ho aspettato qualche uscita prima di farmi un'idea, e adesso posso dire che ha confermato il suo carattere senza diventare caricatura.
    5x | Li ho infilati per la prima volta senza aspettarmi troppo e invece ha tirato fuori una personalità più matura di quanto pensassi.
    5x | Non mi interessa mai il colpo di fulmine in negozio: mi interessa il giorno dopo, e qui si è comportato meglio del previsto.
    5x | Li ho infilati per la prima volta senza aspettarmi troppo e invece mi ha fatto rivedere le mie aspettative iniziali.
    5x | senza costruirgli attorno una scenografia, e devo dire che il lavoro sulle proporzioni si capisce.
    5x | abbinati a cose che avevo già nell'armadio, e lì si vede se un modello regge davvero o no.
    5x | Struttura sottile geometrica e verde tenue qui hanno trovato un equilibrio raro.
    5x | Quello che mi frena un po' è che lo specchio richiede un po' di cura.
    5x | Li ho portati in città nelle giornate luminose e non mi hanno deluso.
    5x | Non è una questione di gusto astratto: semplicemente su di me non va.
    5x | Energia da festival e trovano un buon equilibrio tra tecnica e stile.
    5x | Lato meno convincente: il doppio ponte sul mio naso non è perfetto.
    5x | Li ho portati nelle occasioni più sceniche e non mi hanno deluso.
    5x | Il punto è che con controluce forte per me perde praticità.
    5x | Capisco il perché esista, ma non il perché dovrei tenerlo.
    5x | È il tipo di modello che fa sembrare facile vestirsi bene.
    5x | Li ho portati con look urban bold e non mi hanno deluso.
    5x | Li ho portati in città d'estate e non mi hanno deluso.
    5x | Li vedo bene soprattutto con outfit monocromatici.
    5x | Li ho portati all'aperitivo e non mi hanno deluso.
    5x | Li ho portati sul lungomare e non mi hanno deluso.
    5x | Ha l'energia di un accessorio da editoriale moda.
    5x | Capisco il concept, ma non il fit sul mio viso.
    5x | Li ho portati all'aperto e non mi hanno deluso.
    5x | Li ho portati in città e non mi hanno deluso.
    5x | Vive benissimo in contesti aperti e luminosi.
    5x | Non obbliga a vestirsi in costume da diva.
    5x | Li vedo bene soprattutto con capi chiari.
    5x | Li vedo bene soprattutto in una cena.
    5x | Non è rumoroso ma ha identità piena.
    5x | Su di me funzionano bene in viaggio.
    5x | Ha qualcosa di quasi acquatico.
